lambda_vac_A,A_ul,upper_id,lower_id,g_upper,g_lower,E_cm1,E_lower_cm1
3787.75224,2770000.0,z3Po_J0,a5F_J1,1.0,3.0,26400.88201756301,8154.71
3788.95577,12900000.0,y5Fo_J2,a5F_J1,5.0,3.0,26392.495998970186,8154.71
3791.16921,2680000.0,z3Po_J1,a5F_J2,3.0,5.0,26377.086977871924,7985.78
3796.07976,11500000.0,y5Fo_J3,a5F_J2,7.0,5.0,26342.965986573476,7985.78
3799.58973,3230000.0,y5Fo_J5,a5F_J4,11.0,9.0,26318.63098545642,7376.76
3800.626,7310000.0,y5Fo_J4,a5F_J3,9.0,7.0,26311.455007675053,7728.06
3814.04661,7910000.0,z3Po_J2,a5F_J3,5.0,7.0,26218.87203418314,7728.06
3815.60581,624000.0,z3Po_J1,a5F_J1,3.0,3.0,26208.158017245496,8154.71
3816.92297,112000000.0,y3Do_J3,a3F_J4,7.0,9.0,26199.11399469505,11976.24
3821.50937,66700000.0,y5Do_J4,a5F_J5,9.0,11.0,26167.67102156811,6928.27
3825.5288,2830000.0,z5Do_J3,a5D_J4,7.0,9.0,26140.177012913875,0.0
3826.96647,59700000.0,y5Do_J3,a5F_J4,7.0,9.0,26130.356976971372,7376.76
3828.90859,105000000.0,y3Do_J2,a3F_J3,5.0,7.0,26117.102994093675,12560.93
3835.3101,45200000.0,y5Do_J2,a5F_J3,5.0,7.0,26073.510978942744,7728.06
3841.52673,47000000.0,y5Do_J1,a5F_J2,3.0,5.0,26031.316981100375,7985.78
3842.13733,136000000.0,y3Do_J1,a3F_J2,3.0,5.0,26027.180033150977,12968.55
3851.05832,60500000.0,y5Do_J0,a5F_J1,1.0,3.0,25966.887980029343,8154.71
3851.90993,1660000.0,z3Po_J2,a5F_J2,5.0,5.0,25961.147019862947,7985.78
3857.46497,4640000.0,z5Do_J2,a5D_J3,5.0,7.0,25923.761013440904,415.93
3861.0058,9690000.0,z5Do_J4,a5D_J4,9.0,9.0,25899.986993026534,0.0
3866.61897,15500000.0,y5Do_J1,a5F_J1,3.0,3.0,25862.38798699112,8154.71
3873.59889,10500000.0,y5Do_J2,a5F_J2,5.0,5.0,25815.78600152893,7985.78
3877.13845,115000.0,z3Po_J2,a5F_J1,5.0,3.0,25792.217969415047,8154.71
3879.11709,7720000.0,y5Do_J3,a5F_J3,7.0,7.0,25779.062008154022,7728.06
3879.67243,6170000.0,z5Do_J1,a5D_J2,3.0,5.0,25775.371968710253,704.01
3887.38343,5290000.0,z5Do_J3,a5D_J3,7.0,7.0,25724.244032186965,415.93
3888.1496,3520000.0,y5Do_J4,a5F_J4,9.0,9.0,25719.17500293713,7376.76
3889.61536,25000000.0,y3Do_J2,a3F_J2,5.0,5.0,25709.483006566494,12968.55
3896.76002,9390000.0,z5Do_J0,a5D_J1,1.0,3.0,25662.344996035965,888.13
3899.11325,800000.0,y5Do_J2,a5F_J1,5.0,3.0,25646.857012937493,8154.71
3900.81218,2580000.0,z5Do_J2,a5D_J2,5.0,5.0,25635.68697634655,704.01
3904.05107,21400000.0,y3Do_J3,a3F_J3,7.0,7.0,25614.419024492934,12560.93
3907.58606,832000.0,z5Do_J1,a5D_J1,3.0,3.0,25591.246990987573,888.13
3918.29002,434000.0,y5Do_J3,a5F_J2,7.0,5.0,25521.336983626345,7985.78
3921.36795,2600000.0,z5Do_J1,a5D_J0,3.0,1.0,25501.304971904,978.07
3924.02245,1080000.0,z5Do_J4,a5D_J3,9.0,7.0,25484.05399668394,415.93
3929.03194,2600000.0,z5Do_J2,a5D_J1,5.0,3.0,25451.5619946831,888.13
3931.40948,1990000.0,z5Do_J3,a5D_J2,7.0,5.0,25436.17003233151,704.01
3941.99279,120000.0,y5Do_J4,a5F_J3,9.0,7.0,25367.879985391857,7728.06
3967.18362,1320000.0,y3Do_J3,a3F_J2,7.0,5.0,25206.798973423873,12968.55
3970.38001,22600000.0,y3Fo_J3,a3F_J4,7.0,9.0,25186.506014067905,11976.24
4006.37414,20400000.0,y3Fo_J2,a3F_J3,5.0,7.0,24960.225007842128,12560.93
4033.7665,246000.0,y5Po_J3,a3F_J4,7.0,9.0,24790.725987733797,11976.24
4046.95504,86200000.0,y3Fo_J4,a3F_J4,9.0,9.0,24709.935991777165,11976.24
4064.74141,66500000.0,y3Fo_J3,a3F_J3,7.0,7.0,24601.811016558615,12560.93
4065.59744,28410.0,y5Po_J2,a3F_J3,5.0,7.0,24596.63099354962,12560.93
4072.88758,76400000.0,y3Fo_J2,a3F_J2,5.0,5.0,24552.605009539693,12968.55
4091.48579,1501.0,y5Po_J1,a3F_J2,3.0,5.0,24440.99897509359,12968.55
4101.89518,29200.0,z3Fo_J4,a5F_J5,9.0,11.0,24378.974988824553,6928.27
4131.20185,7370.0,y5Po_J3,a3F_J3,7.0,7.0,24206.030988294602,12560.93
4133.22355,11800000.0,y3Fo_J3,a3F_J2,7.0,5.0,24194.19099651651,12968.55
4134.10867,1522.0,y5Po_J2,a3F_J2,5.0,5.0,24189.01097730457,12968.55
4135.50221,1060.0,z7Po_J3,a5D_J4,7.0,9.0,24180.860007326657,0.0
4141.09455,18300.0,z3Fo_J2,a5F_J2,5.0,5.0,24148.204971557578,7985.78
4145.03631,13300000.0,y3Fo_J4,a3F_J3,9.0,7.0,24125.241016284366,12560.93
4148.83842,436000.0,z3Go_J3,a3F_J4,7.0,9.0,24103.131979769892,11976.24
4153.33964,32400.0,z3Fo_J3,a5F_J3,7.0,7.0,24077.00998900249,7728.06
4173.92059,64600.0,z3Do_J2,a5F_J3,5.0,7.0,23958.290016245854,7728.06
4175.09706,65000.0,z3Do_J1,a5F_J2,3.0,5.0,23951.53898529966,7985.78
4176.08949,58700.0,z3Do_J3,a5F_J4,7.0,9.0,23945.847003388808,7376.76
4178.77135,37100.0,z3Fo_J4,a5F_J4,9.0,9.0,23930.47899115131,7376.76
4201.96121,6530.0,y5Po_J3,a3F_J2,7.0,5.0,23798.411028168437,12968.55
4203.2129,8220000.0,z3Go_J4,a3F_J4,9.0,9.0,23791.32401311387,11976.24
4204.75297,17000.0,z3Do_J1,a5F_J1,3.0,3.0,23782.609992424837,8154.71
4207.88164,5900.0,z7Po_J3,a5D_J3,7.0,7.0,23764.92700018055,415.93
4217.37106,18400.0,z7Po_J4,a5D_J4,9.0,9.0,23711.45402605385,0.0
4230.94441,19900.0,z5Go_J3,a3F_J4,7.0,9.0,23635.384989612754,11976.24
4238.26653,2220.0,z3Do_J3,a5F_J3,7.0,7.0,23594.551992462824,7728.06
4251.98324,10200000.0,z3Go_J3,a3F_J3,7.0,7.0,23518.437010584264,12560.93
4259.51468,2540.0,z7Po_J3,a5D_J2,7.0,5.0,23476.85300147856,704.01
4272.9623,22800000.0,z3Go_J5,a3F_J4,11.0,9.0,23402.968006527928,11976.24
4292.67068,3350.0,z7Po_J4,a5D_J3,9.0,7.0,23295.52100651709,415.93
4292.68063,9556.0,z5Go_J2,a3F_J3,5.0,7.0,23295.467009853,12560.93
4295.33264,3120000.0,z5Go_J4,a3F_J4,9.0,9.0,23281.08400005081,11976.24
4309.11357,33800000.0,z3Go_J4,a3F_J3,9.0,7.0,23206.629014421633,12560.93
4326.97814,51600000.0,z3Go_J3,a3F_J2,7.0,5.0,23110.81701004387,12968.55
4338.26493,1020000.0,z5Go_J3,a3F_J3,7.0,7.0,23050.689990940686,12560.93
4369.13092,91000.0,z5Go_J2,a3F_J2,5.0,5.0,22887.84699543863,12968.55
4377.15933,29500.0,z7Fo_J5,a5D_J4,11.0,9.0,22845.86702490448,0.0
4384.77621,50000000.0,z5Go_J5,a3F_J4,11.0,9.0,22806.1810251429,11976.24
4390.47767,1810.0,z7Fo_J2,a5D_J3,5.0,7.0,22776.56499275624,415.93
4405.98723,27500000.0,z5Go_J4,a3F_J3,9.0,7.0,22696.38897705112,12560.93
